result_code,result_id
7,7
8,8
10,10
11,11
12,12
17,17
17,4650
17,12616
18,18
20,20
24,24
27,27
28,28
28,4651
28,12617
30,30
30,4652
30,12618
31,31
31,4653
31,12619
32,32
32,4654
32,12620
33,33
33,4655
33,12621
34,34
34,4656
34,12622
35,35
35,4657
35,12623
36,36
36,4658
36,12624
37,37
37,4659
37,12625
38,38
38,4660
38,12626
39,39
39,4661
39,12627
40,40
40,4662
40,12628
41,41
41,4663
41,12629
42,42
42,4664
42,12630
43,43
43,4665
43,12631
44,44
44,4666
44,12632
45,45
45,4667
45,12633
46,46
46,4668
46,12634
47,47
47,4669
47,12635
48,48
48,4670
48,12636
49,49
49,4671
53,53
53,4672
53,12638
54,54
54,4673
54,12639
55,55
55,4674
55,12640
56,56
56,4675
56,12641
57,57
57,4676
57,12642
58,58
58,4677
58,12643
59,59
59,4678
59,12644
60,60
60,4679
60,12645
61,61
61,4680
61,12646
62,62
62,4681
62,12647
63,63
72,72
74,74
75,75
76,76
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
94,94
96,96
97,97
98,98
99,99
100,100
101,101
103,103
104,104
104,4682
104,12648
105,105
106,106
108,108
109,109
110,110
112,112
113,113
114,114
121,121
126,126
126,4683
126,12649
128,128
128,4684
128,12650
134,134
138,138
140,140
141,141
142,142
144,144
145,145
146,146
147,147
149,149
151,151
154,154
155,155
156,156
157,157
158,158
159,159
163,163
164,164
165,165
166,166
167,167
168,168
168,4685
168,12651
171,171
173,173
174,174
183,183
185,185
187,187
187,5357
188,188
188,4686
188,12652
192,192
199,199
200,200
200,4687
201,201
202,202
204,204
210,210
217,217
218,218
220,220
221,221
222,222
223,223
224,224
225,225
236,236
236,4688
236,12653
247,247
247,4689
248,248
248,4690
249,249
251,251
253,253
255,255
255,4691
255,12654
256,256
256,4692
256,12655
261,261
262,262
267,267
268,268
269,269
270,270
271,271
272,272
273,273
273,12656
274,274
274,12657
275,275
275,4695
275,12658
276,276
276,4696
276,12659
277,277
278,278
282,282
283,283
284,284
291,291
293,293
294,294
295,295
298,298
299,299
305,305
305,4697
305,12660
309,309
309,4698
309,12661
310,310
311,311
312,312
313,313
315,315
317,317
318,318
319,319
320,320
321,321
322,322
323,323
324,324
326,326
327,327
328,328
329,329
330,330
331,331
332,332
333,333
334,334
335,335
336,336
337,337
338,338
339,339
340,340
340,4699
340,12662
341,341
342,342
342,4700
342,12663
343,343
343,4701
343,12664
344,344
344,4702
344,12665
345,345
345,4703
345,12666
346,346
346,4704
346,12667
347,347
347,5359
347,18980
348,348
348,4705
348,12668
350,350
350,4706
350,12669
351,351
351,4707
351,12670
352,352
352,4708
352,12671
353,353
353,4709
353,12672
354,354
354,4710
354,12673
355,355
355,5358
355,17375
356,356
357,357
367,367
367,4711
367,12674
369,369
369,4712
369,12675
372,372
372,4713
372,12676
379,379
382,382
385,385
393,393
397,397
397,4714
397,12677
403,403
404,404
404,4715
404,12678
405,405
408,408
409,409
411,411
411,4716
411,12679
412,412
413,413
415,415
416,416
416,4718
416,12681
417,417
419,419
420,420
421,421
422,422
428,428
429,429
429,4720
433,433
434,434
435,435
437,437
438,438
439,439
440,440
444,444
445,445
445,4721
445,12684
446,446
447,447
448,448
449,449
450,450
452,452
452,4722
452,12685
453,453
453,4723
453,12686
454,454
454,4724
454,12687
455,455
455,4725
455,12688
456,456
456,4726
456,12689
457,457
457,4727
457,12690
458,458
458,4728
458,12691
459,459
460,460
461,461
462,462
463,463
464,464
465,465
466,466
467,467
468,468
469,469
470,470
472,472
473,473
477,477
478,478
479,479
480,480
486,486
487,487
488,488
489,489
490,490
491,491
492,492
493,493
495,495
497,497
498,498
499,499
500,500
501,501
502,502
503,503
504,504
505,505
506,506
507,507
508,508
509,509
510,510
511,511
512,512
513,513
514,514
515,515
517,517
518,518
519,519
520,520
527,527
529,529
530,530
531,531
534,534
535,535
536,536
537,537
539,539
540,540
541,541
544,544
546,546
547,547
548,548
549,549
550,550
551,551
552,552
554,554
555,555
556,556
557,557
558,558
559,559
560,560
561,561
562,562
563,563
564,564
565,565
566,566
567,567
568,568
569,569
570,570
571,571
572,572
573,573
574,574
575,575
576,576
577,577
578,578
579,579
580,580
581,581
582,582
583,583
584,584
585,585
586,586
587,587
588,588
589,589
590,590
591,591
592,592
593,593
594,594
595,595
596,596
597,597
598,598
599,599
600,600
601,601
602,602
603,603
604,604
605,605
606,606
607,607
608,608
609,609
610,610
611,611
612,612
613,613
614,614
615,615
616,616
617,617
618,618
619,619
620,620
621,621
623,623
624,624
629,629
630,630
632,632
634,634
634,4729
634,12692
635,635
636,636
638,638
639,639
640,640
641,641
642,642
644,644
644,4730
644,12693
646,646
647,647
648,648
649,649
650,650
651,651
652,652
653,653
654,654
656,673
657,674
658,675
659,678
659,4731
659,12694
660,655
661,679
661,4732
661,12695
662,680
662,4733
662,12696
667,685
669,687
671,689
672,690
673,691
674,692
675,693
676,694
677,695
678,696
679,697
680,698
681,699
682,700
683,701
684,702
685,703
686,704
687,705
688,706
689,707
690,708
691,709
692,710
693,711
694,712
695,713
696,714
697,715
698,716
699,717
700,718
701,719
702,720
703,721
704,722
705,723
706,724
707,725
708,726
709,727
710,728
711,729
712,730
713,731
714,732
715,733
716,734
717,735
718,736
719,737
720,738
721,739
722,740
723,741
724,742
725,743
726,744
727,745
728,746
729,747
730,748
731,749
732,750
733,751
734,752
735,753
736,754
737,755
738,756
739,757
740,758
741,759
742,760
743,761
744,762
745,763
746,764
747,765
749,767
750,768
752,770
754,772
754,4734
754,12697
757,775
758,776
759,777
760,778
762,780
767,785
768,786
771,789
775,793
775,4735
775,12698
776,794
776,4736
776,12699
777,795
777,4737
777,12700
778,796
778,4738
778,12701
779,797
780,798
780,12703
781,799
781,4741
782,800
782,4742
782,12705
783,801
783,4743
783,12706
784,802
784,4744
784,12707
785,803
785,4745
785,12708
786,804
786,4746
786,12709
787,805
788,806
